epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,150.534,0.4328,0.92717,0.18527,0.36184,0.88337,0.85812,0.76667,0.75333,0.67255,0.66542,0.33333,0.33167,0.27431,0.36912,0.18903,0.11853,0.28575,0.81468,0.000650909,0.000650909,0.000650909
57,152.938,0.41779,0.77307,0.17911,0.36089,0.87708,0.85031,0.76667,0.76286,0.66408,0.66538,0.33333,0.33167,0.25504,0.36873,0.21422,0.12352,0.28224,0.80903,0.000636762,0.000636762,0.000636762
58,155.572,0.44658,0.9583,0.18178,0.3753,0.89847,0.83519,0.76667,0.75786,0.68398,0.66538,0.33333,0.33167,0.23123,0.35801,0.28819,0.12377,0.28608,0.8106,0.000622615,0.000622615,0.000622615
59,158.176,0.45331,0.87064,0.1784,0.37614,0.88014,0.83854,0.76667,0.75859,0.67766,0.6654,0.33333,0.33167,0.22466,0.3677,0.24725,0.12916,0.29155,0.80777,0.000608468,0.000608468,0.000608468
60,160.649,0.43123,0.82447,0.17783,0.3639,0.88644,0.83856,0.76667,0.75859,0.67235,0.6654,0.33333,0.33167,0.1744,0.3801,0.36502,0.13108,0.28923,0.80574,0.000594321,0.000594321,0.000594321
61,163.02,0.4368,0.72924,0.16961,0.36101,0.87328,0.84378,0.76667,0.76359,0.68392,0.66543,0.33333,0.33167,0.22025,0.36666,0.30903,0.13321,0.28276,0.80729,0.000580174,0.000580174,0.000580174
62,165.567,0.41865,0.94787,0.1899,0.35699,0.878,0.87483,0.76667,0.76545,0.67495,0.66543,0.33333,0.33167,0.26269,0.36813,0.25397,0.1381,0.26975,0.8095,0.000566027,0.000566027,0.000566027
63,168.068,0.41073,0.68021,0.16698,0.34364,0.87317,0.88486,0.76667,0.76286,0.68053,0.66545,0.33333,0.33167,0.29151,0.3453,0.16352,0.1333,0.25931,0.80654,0.00055188,0.00055188,0.00055188
64,170.771,0.41174,0.6876,0.16948,0.34397,0.86757,0.83277,0.76667,0.75667,0.68202,0.66545,0.33333,0.33167,0.27121,0.32637,0.18482,0.12784,0.27083,0.80671,0.000537733,0.000537733,0.000537733
65,173.379,0.40644,0.74053,0.1782,0.34812,0.88463,0.84345,0.76628,0.75574,0.67754,0.66544,0.33333,0.33167,0.27082,0.33834,0.17038,0.12849,0.27585,0.80669,0.000523586,0.000523586,0.000523586
66,175.956,0.39799,0.71681,0.17253,0.34098,0.85132,0.84489,0.7661,0.75618,0.69117,0.66543,0.33333,0.33167,0.28605,0.3577,0.17111,0.12928,0.27784,0.80733,0.000509438,0.000509438,0.000509438
67,178.715,0.39715,0.86292,0.17692,0.34924,0.86881,0.845,0.76636,0.75722,0.68325,0.66531,0.33333,0.33167,0.24754,0.34618,0.21058,0.12695,0.26974,0.807,0.000495291,0.000495291,0.000495291
68,181.238,0.39238,0.82933,0.18655,0.34093,0.87443,0.84157,0.7646,0.75667,0.68308,0.66541,0.33333,0.33167,0.28395,0.34081,0.14316,0.12515,0.26209,0.80709,0.000481144,0.000481144,0.000481144
69,183.692,0.41177,0.6938,0.18841,0.34106,0.87385,0.79913,0.76667,0.75833,0.6775,0.66543,0.33333,0.33167,0.28468,0.32631,0.14087,0.12593,0.25424,0.8084,0.000466997,0.000466997,0.000466997
70,186.307,0.40718,0.69582,0.17824,0.34214,0.88379,0.7871,0.8,0.765,0.68091,0.66542,0.33333,0.33167,0.27546,0.33717,0.13926,0.12386,0.24885,0.80773,0.00045285,0.00045285,0.00045285
71,188.724,0.42063,0.75763,0.17882,0.35523,0.87569,0.79923,0.8,0.765,0.66527,0.66542,0.33333,0.33167,0.25322,0.36113,0.21069,0.12166,0.25398,0.80896,0.000438703,0.000438703,0.000438703
72,191.264,0.38655,0.75314,0.18607,0.33695,0.86321,0.94882,0.83333,0.82833,0.68133,0.66542,0.33333,0.33167,0.28006,0.3347,0.16098,0.12536,0.25698,0.81026,0.000424556,0.000424556,0.000424556
73,193.752,0.36201,0.75263,0.18511,0.3256,0.86716,0.96213,0.83333,0.82833,0.6876,0.66542,0.33333,0.33167,0.26321,0.34023,0.16952,0.1304,0.25664,0.80885,0.000410409,0.000410409,0.000410409
74,196.276,0.38722,0.66382,0.17582,0.32662,0.88627,0.87828,0.8,0.78833,0.69588,0.66543,0.33333,0.33167,0.28281,0.34095,0.13926,0.12981,0.2421,0.8073,0.000396262,0.000396262,0.000396262
75,198.879,0.36463,0.74612,0.17775,0.31784,0.86084,0.97768,0.7947,0.795,0.69719,0.66542,0.33333,0.33167,0.28719,0.35707,0.17231,0.12964,0.25348,0.8066,0.000382115,0.000382115,0.000382115
76,201.55,0.37389,0.65631,0.17609,0.33089,0.86557,0.97789,0.79712,0.795,0.69609,0.66542,0.33333,0.33167,0.29176,0.33923,0.1431,0.13135,0.25722,0.79817,0.000367967,0.000367967,0.000367967
77,204.254,0.35744,0.60876,0.17124,0.30887,0.85766,0.97819,0.79705,0.795,0.70501,0.66543,0.33333,0.33167,0.29136,0.34018,0.15002,0.13048,0.25856,0.79895,0.00035382,0.00035382,0.00035382
78,206.918,0.39223,0.69487,0.17467,0.31954,0.86971,0.9787,0.79974,0.795,0.69906,0.66543,0.33333,0.33167,0.29068,0.36735,0.16195,0.12962,0.26361,0.80586,0.000339673,0.000339673,0.000339673
79,209.481,0.37128,0.63681,0.17719,0.31432,0.87434,0.97815,0.79873,0.795,0.69752,0.66543,0.33333,0.33167,0.27579,0.34181,0.16518,0.12921,0.25977,0.80404,0.000325526,0.000325526,0.000325526
80,212.032,0.36126,0.64134,0.16867,0.32106,0.85956,0.97974,0.79435,0.795,0.69518,0.66542,0.33333,0.33167,0.28597,0.33352,0.16792,0.13086,0.26263,0.80303,0.000311379,0.000311379,0.000311379
81,214.51,0.39482,0.72289,0.17056,0.33403,0.88235,0.87525,0.8,0.78833,0.69614,0.66543,0.33333,0.33167,0.29505,0.33421,0.13522,0.13179,0.26616,0.80422,0.000297232,0.000297232,0.000297232
82,217.082,0.38565,0.72978,0.17271,0.3218,0.88458,0.86405,0.8,0.78833,0.67989,0.66542,0.33333,0.33167,0.30004,0.34562,0.12344,0.13178,0.25812,0.80592,0.000283085,0.000283085,0.000283085
83,219.725,0.35624,0.5802,0.1729,0.30525,0.85671,0.84423,0.8,0.78389,0.69138,0.6654,0.33333,0.33167,0.28204,0.34421,0.13049,0.13016,0.24138,0.80056,0.000268938,0.000268938,0.000268938
84,222.297,0.35426,0.61709,0.17893,0.31113,0.85286,0.98472,0.76667,0.78389,0.68274,0.66541,0.33333,0.33167,0.28807,0.34546,0.1179,0.13091,0.24944,0.80218,0.000254791,0.000254791,0.000254791
85,224.904,0.36583,0.62025,0.18127,0.31219,0.86683,0.98797,0.76405,0.78071,0.68447,0.66542,0.33333,0.33167,0.30178,0.34444,0.1047,0.12892,0.25012,0.80246,0.000240644,0.000240644,0.000240644
